topic_0,topic_1,topic_2,topic_3,topic_4
0.001941058,0.0023534498,0.002176197,0.9903966,0.0031326627
0.0014962545,0.0018141445,0.0016775102,0.9925973,0.002414797
0.0014962545,0.0018141445,0.0016775102,0.9925973,0.002414797
0.0014962546,0.0018141449,0.0016775104,0.9925973,0.0024147972
0.0014962545,0.0018141445,0.0016775102,0.9925973,0.002414797
0.0010276722,0.0012460087,0.0011521641,0.9949156,0.0016585547
0.0010276722,0.0012460087,0.0011521641,0.9949156,0.0016585547
0.0010276722,0.0012460087,0.0011521641,0.9949156,0.0016585547
0.0013002205,0.0015764618,0.0014577288,0.99356717,0.0020984188
0.0038294697,0.004643068,0.00429337,0.98105377,0.0061803604
0.0038294692,0.004643068,0.00429337,0.98105377,0.0061803595
0.0012186709,0.0014775865,0.0013663003,0.99397063,0.0019668064
0.0012186709,0.0014775865,0.0013663003,0.99397063,0.0019668064
0.0014963441,0.0018142533,0.0016776107,0.9925968,0.0024149416
0.0016197284,0.0019638515,0.0018159417,0.9919864,0.002614071
0.0016197284,0.0019638515,0.0018159417,0.9919864,0.002614071
0.0016197283,0.0019638513,0.0018159415,0.9919864,0.0026140707
0.0016197285,0.0019638517,0.0018159419,0.9919864,0.002614071
0.0016197283,0.0019638513,0.0018159415,0.9919864,0.0026140707
0.0016197284,0.0019638515,0.0018159417,0.9919864,0.002614071
0.0017666285,0.0021419616,0.0019806372,0.9912596,0.002851152
0.0017666285,0.0021419616,0.0019806372,0.9912596,0.002851152
0.0017666289,0.002141962,0.0019806377,0.9912596,0.0028511528
0.0017666285,0.0021419616,0.0019806372,0.9912596,0.002851152
0.001496321,0.0018142253,0.0016775848,0.9925969,0.0024149043
0.0014963208,0.0018142251,0.0016775846,0.9925969,0.002414904
0.001496321,0.0018142255,0.001677585,0.9925969,0.0024149045
0.001496321,0.0018142253,0.0016775848,0.9925969,0.0024149043
0.0014963209,0.0018142252,0.0016775847,0.9925969,0.002414904
0.003204057,0.0038847823,0.0035921955,0.98414797,0.0051710103
0.0032040575,0.0038847828,0.0035921957,0.98414797,0.0051710107
0.002420118,0.0029342899,0.0027132903,0.98802644,0.0039058155
0.0021524692,0.002609777,0.0024132186,0.9893507,0.0034738586
0.0021524692,0.002609777,0.0024132186,0.9893507,0.0034738586
0.0014973923,0.0018155243,0.001678786,0.9925916,0.0024166333
0.0014973923,0.0018155243,0.001678786,0.9925916,0.0024166333
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0013003098,0.0015765701,0.0014578289,0.9935667,0.002098563
0.0019415903,0.0023540955,0.002176794,0.990394,0.003133522
0.00194159,0.002354095,0.0021767935,0.990394,0.0031335214
0.0024166948,0.0029301392,0.0027094523,0.98804337,0.0039002907
0.0024166945,0.002930139,0.002709452,0.98804337,0.0039002902
0.00097656064,0.0011840381,0.0010948608,0.99516845,0.0015760659
0.0009765606,0.001184038,0.0010948607,0.99516845,0.0015760658
0.0009765606,0.001184038,0.0010948607,0.99516845,0.0015760658
0.0009765606,0.001184038,0.0010948607,0.99516845,0.0015760658
0.00097656064,0.0011840381,0.0010948608,0.99516845,0.0015760659
0.00097656064,0.0011840381,0.0010948608,0.99516845,0.0015760659
0.00097656064,0.0011840381,0.0010948608,0.99516845,0.0015760659
0.2726956,0.0021424117,0.0019810533,0.72032917,0.0028517512
0.27263147,0.002142412,0.0019810537,0.72039336,0.0028517516
0.002153591,0.0026111372,0.0024144764,0.9893451,0.003475669
0.0021535913,0.0026111375,0.0024144766,0.9893451,0.0034756693
0.002153591,0.0026111372,0.0024144764,0.9893451,0.003475669
0.002153591,0.0026111372,0.0024144764,0.9893451,0.003475669
0.0021535917,0.0026111382,0.002414477,0.9893451,0.00347567
0.0016206274,0.0019649414,0.0018169496,0.9919819,0.0026155217
0.0016206274,0.0019649414,0.0018169496,0.9919819,0.0026155217
0.0016206274,0.0019649414,0.0018169496,0.9919819,0.0026155217
0.0016206274,0.0019649414,0.0018169496,0.9919819,0.0026155217
0.0019436766,0.002356625,0.002179133,0.9903836,0.0031368893
0.0019436766,0.002356625,0.002179133,0.9903836,0.0031368893
0.0019436766,0.002356625,0.002179133,0.9903836,0.0031368893
