lemma,active,passive
surprise,1,0
surround,1,2
survive,1,0
suspect,1,1
sustain,0,2
swear,2,0
sweep,1,0
swelter,1,0
swirl,1,0
switch,0,1
take,34,3
talk,6,0
target,1,0
teach,1,0
tell,23,0
tempt,0,1
test,3,0
thank,3,0
think,42,0
threaten,1,0
thrive,1,0
throw,1,1
tie,0,1
touch,3,0
treat,3,1
try,22,0
tuck,1,0
tune,0,1
turn,1,0
twist,3,2
undergo,3,0
underlie,1,0
understand,1,2
undertake,1,0
unify,1,0
unite,0,1
urbanize,1,0
urge,1,0
use,18,3
vary,2,0
verify,1,0
vest,0,1
vibrate,1,0
view,1,0
visit,2,0
vlog,1,0
vote,6,0
wait,3,0
waive,1,0
wake,2,0
walk,4,0
want,33,0
wash,7,1
watch,5,0
water,0,1
wear,3,1
weave,1,0
weep,1,0
welcome,2,0
whisper,2,0
will,97,0
wipe,1,0
wish,7,1
withdraw,1,0
withhold,0,1
wonder,3,0
work,9,0
worsen,1,0
would,55,0
wrestle,1,0
write,9,2
